440,0.34542,0.180818,0.159875,0.186001,0.336558
460,0.357046,0.203062,0.165652,0.119002,0.408731
480,0.350925,0.245288,0.196412,0.068217,0.468175
500,0.30787,0.328948,0.237644,0.053919,0.445787
520,0.279388,0.459329,0.29331,0.057646,0.316789
540,0.278702,0.565348,0.343565,0.078401,0.194451
560,0.264495,0.270659,0.374652,0.117106,0.165963
580,0.245995,0.174768,0.389929,0.197101,0.15352
600,0.211121,0.148461,0.369647,0.308899,0.139039
620,0.206297,0.144182,0.322368,0.435326,0.135531
640,0.198006,0.142232,0.238496,0.516922,0.136013
660,0.201496,0.139805,0.166153,0.461382,0.135356
680,0.191876,0.13597,0.127157,0.293282,0.129604
700,0.212869,0.149008,0.119399,0.175002,0.145454
